Auction Date,Make,Model,Year,Kilometers,Miles,Mileage Notes,Sale_Status,Final Bid Price,VIN,Details,URL
11/1/22,PORSCHE,911SC,1979,99779.0,62000.0,"62k Miles Shown, TMU",Sold,86000.0,9119200119,"Chassis: 9119200119 ,62k Miles Shown, TMU ,3.2-Liter Flat-Six ,Five-Speed Manual Transaxle ,Viper Green Diamond Paint ,Black Leather w/Houndstooth Cloth Inserts ,Dual 46mm PMO Carburetors ,LN Engineering 98mm Nickies Cylinders ,Twin-Plug Cylinder Heads ,Elgin Camshafts ,Seine Systems Gate Shift Kit ,Ducktail Spoiler ,GT Classics PanAm Sport Seats ,Power Windows ,SSI Heat Exchangers ,Power Disc Brakes ,Bilstein Shocks  ,Tarett Sway Bars ,Fuchs-Style 17"" Fikse Wheels",https://bringatrailer.com/listing/1979-porsche-911sc-67/
11/1/22,MERCEDES-BENZ,W123,1978,292899.0,182000.0,182k Miles Shown,Sold,8000.0,12313012084731,"Chassis: 12313012084731 ,182k Miles Shown ,3.0-Liter Diesel Inline-Five ,4-Speed Automatic Transmission ,Medium Red Paint ,Tan MB-Tex Upholstery ,14"" Steel Wheels ,Power Antenna ,Becker Europa II AM/FM Stereo ,Manufacturer's Literature",https://bringatrailer.com/listing/1978-mercedes-benz-300d-18/
11/1/22,CHEVROLET,C/K GMT400 (1988-2002),1995,74029.0,46000.0,46k Miles Shown ,Sold,28000.0,2GCEK19K8S1287430,"Chassis: 2GCEK19K8S1287430 ,46k Miles Shown  ,5.7-Liter V8 ,Four-Speed Automatic Transmission ,Dual-Range Transfer Case ,Victory Red and White Paint ,Ruby Red Cloth Upholstery ,16"" Aluminum Wheels ,Z71 Off-Road Package ,Sport Package  ,Aluminum Running Boards ,Air Conditioning ,AM/FM Cassette Stereo ,Power Accessories  ,Clean Carfax Report",https://bringatrailer.com/listing/1995-chevrolet-k1500-silverado-7/
11/1/22,BMW,Z3 M COUPE,2000,102997.0,64000.0,64k Miles,Sold,39800.0,WBSCM934XYLC61680,"Chassis: WBSCM934XYLC61680 ,One Owner ,64k Miles ,3.2-Liter S52 Inline-Six ,Five-Speed Manual Transmission ,Limited-Slip Differential ,Titanium Silver Metallic Paint ,Dark Gray & Black Nappa Leather ,Harman Kardon Sound System ,17"" Style 40 Wheels ,Heated Sport Seats ,Air Conditioning  ,Cruise Control ,Power Sunroof ,Purchase Documents ,Service Records Since 2000 ,Clean Carfax Report",https://bringatrailer.com/listing/2000-bmw-m-coupe-74/
11/1/22,ROLLS-ROYCE,SY SILVER SHADOW & SILVER WRAITH II,1971,148059.0,92000.0,92k Miles Shown,Sold,9500.0,LRX11392,"Chassis: LRX11392 ,92k Miles Shown ,6.75-Liter V8 ,Three-Speed Automatic Transmission ,Metallic Blue Paint ,Beige Leather Upholstery ,Long-Wheelbase Example ,15"" Steel Wheels ,Everflex Roof Cover  ,Cruise Control ,AM/FM Stereo ,Wood Interior Trim ,Power Windows & Door Locks ,Workshop Manuals",https://bringatrailer.com/listing/1971-rolls-royce-silver-shadow-5/
11/1/22,PONTIAC,FIREBIRD,1979,96560.0,60000.0,"60k Miles Shown, TMU",Not Sold,18008.0,2W87K9N129905,"Chassis: 2W87K9N129905 ,60k Miles Shown, TMU ,403ci V8 ,Three-Speed Automatic Transmission ,Repainted in Black ,Gold Body Graphics ,Camel Interior ,Shaker Hood ,15"" Snowflake Wheels ,Power Windows ,White-Dial Instruments ,Panasonic Stereo ,Manuals & Accessories",https://bringatrailer.com/listing/1979-pontiac-trans-am-127/
11/1/22,PORSCHE,964 911,1990,83685.0,52000.0,52k Miles Shown,Sold,125500.0,WP0BB2963LS460297,"Chassis: WP0BB2963LS460297 ,52k Miles Shown ,3.6-Liter Flat-Six ,Five-Speed Manual Transaxle ,Green Paint w/ Yellow Porsche Script ,Tan Leather w/ Green Houndstooth Inserts ,Black Targa Top ,17"" Fuchs Wheels ,Fog Lights ,Power-Adjustable Front Seats ,Kenwood CD Stereo ,Cruise Control ,Air Conditioning ,Power Windows & Locks",https://bringatrailer.com/listing/1990-porsche-911-carrera-4-targa-2/
11/1/22,HONDA,MOTORCYCLES,1970,4828.0,3000.0,3k Miles Shown,Sold,6250.0,SL100124704,"Chassis: SL100124704 ,3k Miles Shown ,99cc Four-Stroke Single ,Five-Speed Transmission ,Metallic Red Paint w/White Graphics ,Black Vinyl Solo Saddle ,Keihin Carburetor ,Upswept Exhaust ,Skid Plate ,Chrome Mirrors ,Headlight & Taillight ,High-Mounted Fenders ,Side Stand ,Tool Kit ,Owner & Repair Manuals ,Sales Literature",https://bringatrailer.com/listing/1970-honda-sl100-4/
11/1/22,VOLKSWAGEN,GOLF/RABBIT CABRIOLET,1993,151277.0,94000.0,94k Miles Shown,Sold,14000.0,WVWAB5152PK012283,"Chassis: WVWAB5152PK012283 ,94k Miles Shown ,1.8-Liter Inline-Four ,5-Speed Manual Transaxle ,Red Paint ,White Soft Top w/Boot Cover ,White Vinyl Upholstery ,14"" Alloy Wheels ,Air Conditioning ,Power Windows ,Alpine CD Stereo ,Clean Carfax Report",https://bringatrailer.com/listing/1993-volkswagen-cabriolet-11/
11/1/22,VOLKSWAGEN,BUS,1970,62764.0,39000.0,"39k Miles Shown, TMU",Not Sold,19750.0,2302002228,"Chassis: 2302002228 ,39k Miles Shown, TMU ,1.6-Liter Flat-Four ,Four-Speed Manual Transaxle ,Cream Paint ,Cassette Stereo ,Jalousie Windows ,Fold-Out Tables ,Icebox ,Under-Dash Parcel Shelf",https://bringatrailer.com/listing/1970-volkswagen-westfalia-2/
11/1/22,DODGE,CHALLENGER,2018,40.0,25.0,25 Miles,Sold,156000.0,2C3CDZH90JH100609,"Chassis: 2C3CDZH90JH100609 ,25 Miles ,Supercharged 6.2-Liter Hemi V8  ,Eight-Speed Automatic Transmission  ,Limited-Slip Differential ,TorRed Paint  ,Black Laguna Leather & Alcantara Upholstery ,20″ Mopar Devil’s Rim Wheels ,Brembo Brakes ,Widebody Fender Flares ,Air-Catcher Headlights ,Air-Grabber Hood ,18-Speaker Harman Kardon Sound System ,Heated & Ventilated Seats ,Heated Steering Wheel ,Red Seat Belts ,Rearview Camera ,Removed Factory 18"" Aluminum Wheels ,Demon Crate  ,Demon Car Covers ,Accident-Free Carfax Report ",https://bringatrailer.com/listing/2018-dodge-challenger-demon-131/
11/1/22,PACKARD,EIGHT,1942,,,"One Mile Shown, TMU ",Not Sold,40500.0,E302200,"Chassis: E302200 ,One Mile Shown, TMU  ,282ci Straight-Eight  ,Three-Speed Manual Transmission  ,Blue Paint  ,Blue Leather Upholstery  ,Blue Soft Top  ,Driver-Side Spotlight ,Bakelite Interior Trim ,Cigar Lighter ,Owner's Manual  ,Refurbishment Records ",https://bringatrailer.com/listing/1942-packard-120-2/
11/1/22,TOYOTA,FJ CRUISER,2014,74029,46000,46k Miles,Sold,45000.0,JTEBU4BF9EK192063,"Chassis: JTEBU4BF9EK192063 ,46k Miles ,4.0-Liter V6  ,Five-Speed Automatic Transmission ,Dual-Range Transfer Case ,Locking Rear Differential ,Heritage Blue Paint ,Black & Gray Cloth Upholstery ,16″ TRD Alloy Wheels ,Bilstein Shocks ,A-Trac Traction Control ,Roof Rack ,Receiver Hitch ,Rear Parking Sensors ,Backup Camera ,Air Conditioning ,CD Stereo ,Window Sticker ,Clean Carfax Report",https://bringatrailer.com/listing/2014-toyota-fj-cruiser-100/
11/1/22,PONTIAC,GTO,1965,5793,3600,"3,600 Miles Shown, TMU",Not Sold,36000.0,237375P232161,"Chassis: 237375P232161 ,3,600 Miles Shown, TMU ,Replacement 421ci V8 ,Triple Two-Barrel Carburetors ,M20 Four-Speed Manual Transmission ,12-Bolt Positraction Rear Axle ,Torch Red Paint ,Black Vinyl Upholstery ,14"" Rally Wheels ,Edelbrock Cylinder Heads ,MSD Electronic Ignition & Distributor ,Dual Exhaust w/Xlerator Mufflers ,Hurst Shifter ,Aftermarket Speakers ,Trunk-Mounted Pioneer CD Stereo ,PHS Documents",https://bringatrailer.com/listing/1965-pontiac-gto-79/
11/1/22,HONDA,MOTORCYCLES,1961,399,248,"248 Miles Shown, TMU",Sold,13000.0,CA7711010,"Chassis: CA7711010 ,248 Miles Shown, TMU ,305cc SOHC Parallel Twin ,Four-Speed Transmission ,Dark Blue Paint ,Blue Two-Up Seat ,Keihin Carburetor ,Electric Starter ,Leading-Link Pressed-Steel Fork ,Valanced Fenders ,Chrome Dual Exhaust System ,Center & Side Stands ,Chrome Engine Guard ,Frame-Mounted Air Pump",https://bringatrailer.com/listing/1961-honda-ca77/
11/1/22,MG,B,1970,101388,63000,"63k Miles Shown, TMU",Sold,16250.0,GHD5UA208048G,"Chassis: GHD5UA208048G ,63k Miles Shown, TMU ,Overbored 1.8-Liter Inline-Four ,Four-Speed Manual Gearbox w/OD ,Bronze Yellow Paint  ,Black Vinyl Upholstery w/Red Piping  ,14"" VTO Alloy Wheels ,Front Disc Brakes ,Chrome Bumpers w/Split Rear Bumper ,Lucas Driving Lights ,Aluminum Radiator ,Weber Carburetor ,16-Gallon Fuel Tank ,Wood-Rimmed Steering Wheel ,BMIHT Certificate ,Partial Service Records",https://bringatrailer.com/listing/1970-mg-mgb-gt-24/
11/1/22,PORSCHE,986 BOXSTER,2001,91732,57000,57k Miles,Not Sold,15250.0,WP0CB29891S660152,"Chassis: WP0CB29891S660152 ,57k Miles ,3.2-Liter Flat-Six ,Five-Speed Automatic Transaxle ,Cobalt Blue Metallic Paint ,Black Full Leather Upholstery ,Black Convertible Soft Top ,Heated & Powered Seats w/Lumbar ,Speed-Activated Rear Spoiler ,18″ Sport Design Wheels ,Xenon Headlights ,Cruise Control ,Hi-Fi Sound System ,Accident-Free Carfax Report",https://bringatrailer.com/listing/2001-porsche-boxster-s-118/
11/1/22,LAND ROVER,90 / DEFENDER 90 (EURO SPEC),1996,283000,175847,"283k kilometers (~176k miles), TMU",Not Sold,53500.0,SALLDVAF8TA976289,"Chassis: SALLDVAF8TA976289 ,283k kilometers (~176k miles), TMU ,2.5-Liter Turbodiesel Inline-Four ,Five-Speed Manual Transmission ,Dual-Range Transfer Case ,Bronze Paint ,Brown Leather Upholstery ,18"" Alloy Wheels ,Black Soft Top ,LED Lighting ,Side Steps ,Steel Rear Step Bumper ,Roll Cage ,Rear Inward-Facing Jump Seats ,Air Conditioning ,Aftermarket Touchscreen Stereo",https://bringatrailer.com/listing/1996-land-rover-defender-90-23/
11/1/22,LEXUS,LX470,2006,144840,90000,90k Miles,Sold,34500.0,JTJHT00W264010235,"Chassis: JTJHT00W264010235 ,90k Miles ,4.7-Liter V8 ,Five-Speed Automatic Transmission ,Dual-Range Transfer Case ,Locking Center Differential ,Sand Dollar Pearl Paint ,Ivory Leather Upholstery ,Adaptive Variable Suspension w/Adjustable Height Control ,Power Sunroof ,Automatic Climate Control ,Rear-View Camera ,Heated Power-Adjustable Front Seats ,Third-Row Seating ,Navigation ,Mark Levinson Sound System ,CD Stereo ,Accident-Free Carfax Report",https://bringatrailer.com/listing/2006-lexus-lx470-12/
